feature,mean_importance,std_importance
feature_0,0.0,0.0
feature_604,0.0,0.0
feature_636,0.0,0.0
feature_637,0.0,0.0
feature_638,0.0,0.0
feature_639,0.0,0.0
feature_640,0.0,0.0
feature_641,0.0,0.0
feature_642,0.0,0.0
feature_643,0.0,0.0
feature_644,0.0,0.0
feature_645,0.0,0.0
feature_646,0.0,0.0
feature_647,0.0,0.0
feature_648,0.0,0.0
feature_649,0.0,0.0
feature_650,0.0,0.0
feature_651,0.0,0.0
feature_652,0.0,0.0
feature_653,0.0,0.0
feature_654,0.0,0.0
feature_655,0.0,0.0
feature_656,0.0,0.0
feature_657,0.0,0.0
feature_658,0.0,0.0
feature_659,0.0,0.0
feature_660,0.0,0.0
feature_661,0.0,0.0
feature_662,0.0,0.0
feature_635,0.0,0.0
feature_634,0.0,0.0
feature_633,0.0,0.0
feature_618,0.0,0.0
feature_606,0.0,0.0
feature_607,0.0,0.0
feature_608,0.0,0.0
feature_609,0.0,0.0
feature_610,0.0,0.0
feature_611,0.0,0.0
feature_612,0.0,0.0
feature_613,0.0,0.0
feature_614,0.0,0.0
feature_615,0.0,0.0
feature_616,0.0,0.0
feature_617,0.0,0.0
feature_619,0.0,0.0
feature_632,0.0,0.0
feature_620,0.0,0.0
feature_621,0.0,0.0
feature_622,0.0,0.0
feature_623,0.0,0.0
feature_624,0.0,0.0
feature_625,0.0,0.0
feature_626,0.0,0.0
feature_627,0.0,0.0
feature_628,0.0,0.0
feature_629,0.0,0.0
feature_630,0.0,0.0
feature_631,0.0,0.0
feature_663,0.0,0.0
feature_664,0.0,0.0
feature_665,0.0,0.0
feature_709,0.0,0.0
feature_697,0.0,0.0
feature_698,0.0,0.0
feature_699,0.0,0.0
feature_700,0.0,0.0
feature_701,0.0,0.0
feature_702,0.0,0.0
feature_703,0.0,0.0
feature_704,0.0,0.0
feature_705,0.0,0.0
feature_706,0.0,0.0
feature_707,0.0,0.0
feature_708,0.0,0.0
feature_710,0.0,0.0
feature_695,0.0,0.0
feature_711,0.0,0.0
feature_712,0.0,0.0
feature_713,0.0,0.0
feature_714,0.0,0.0
feature_715,0.0,0.0
feature_716,0.0,0.0
feature_717,0.0,0.0
feature_718,0.0,0.0
feature_719,0.0,0.0
feature_720,0.0,0.0
feature_721,0.0,0.0
feature_722,0.0,0.0
feature_696,0.0,0.0
feature_694,0.0,0.0
feature_666,0.0,0.0
feature_679,0.0,0.0
feature_667,0.0,0.0
feature_668,0.0,0.0
feature_669,0.0,0.0
feature_670,0.0,0.0
feature_671,0.0,0.0
feature_672,0.0,0.0
feature_673,0.0,0.0
feature_674,0.0,0.0
feature_675,0.0,0.0
feature_676,0.0,0.0
feature_677,0.0,0.0
feature_678,0.0,0.0
feature_680,0.0,0.0
feature_693,0.0,0.0
feature_681,0.0,0.0
feature_682,0.0,0.0
feature_683,0.0,0.0
feature_684,0.0,0.0
feature_685,0.0,0.0
feature_686,0.0,0.0
feature_687,0.0,0.0
feature_688,0.0,0.0
feature_689,0.0,0.0
feature_690,0.0,0.0
feature_691,0.0,0.0
feature_692,0.0,0.0
feature_605,0.0,0.0
feature_603,0.0,0.0
feature_724,0.0,0.0
feature_602,0.0,0.0
feature_515,0.0,0.0
feature_516,0.0,0.0
feature_517,0.0,0.0
feature_518,0.0,0.0
feature_519,0.0,0.0
feature_520,0.0,0.0
feature_521,0.0,0.0
feature_522,0.0,0.0
feature_523,0.0,0.0
feature_524,0.0,0.0
feature_525,0.0,0.0
feature_526,0.0,0.0
feature_527,0.0,0.0
feature_528,0.0,0.0
feature_529,0.0,0.0
feature_530,0.0,0.0
feature_531,0.0,0.0
feature_532,0.0,0.0
feature_533,0.0,0.0
feature_534,0.0,0.0
feature_535,0.0,0.0
feature_536,0.0,0.0
feature_537,0.0,0.0
feature_538,0.0,0.0
feature_539,0.0,0.0
feature_540,0.0,0.0
feature_541,0.0,0.0
feature_514,0.0,0.0
feature_513,0.0,0.0
feature_512,0.0,0.0
feature_497,0.0,0.0
feature_485,0.0,0.0
feature_486,0.0,0.0
feature_487,0.0,0.0
feature_488,0.0,0.0
feature_489,0.0,0.0
feature_490,0.0,0.0
feature_491,0.0,0.0
feature_492,0.0,0.0
feature_493,0.0,0.0
feature_494,0.0,0.0
feature_495,0.0,0.0
feature_496,0.0,0.0
feature_498,0.0,0.0
feature_511,0.0,0.0
feature_499,0.0,0.0
feature_500,0.0,0.0
feature_501,0.0,0.0
feature_502,0.0,0.0
feature_503,0.0,0.0
feature_504,0.0,0.0
feature_505,0.0,0.0
feature_506,0.0,0.0
feature_507,0.0,0.0
feature_508,0.0,0.0
feature_509,0.0,0.0
feature_510,0.0,0.0
feature_542,0.0,0.0
feature_543,0.0,0.0
feature_544,0.0,0.0
feature_588,0.0,0.0
feature_576,0.0,0.0
feature_577,0.0,0.0
feature_578,0.0,0.0
feature_579,0.0,0.0
feature_580,0.0,0.0
feature_581,0.0,0.0
feature_582,0.0,0.0
feature_583,0.0,0.0
feature_584,0.0,0.0
feature_585,0.0,0.0
feature_586,0.0,0.0
feature_587,0.0,0.0
feature_589,0.0,0.0
feature_574,0.0,0.0
feature_590,0.0,0.0
feature_591,0.0,0.0
feature_592,0.0,0.0
feature_593,0.0,0.0
feature_594,0.0,0.0
feature_595,0.0,0.0
feature_596,0.0,0.0
feature_597,0.0,0.0
feature_598,0.0,0.0
feature_599,0.0,0.0
feature_600,0.0,0.0
feature_601,0.0,0.0
feature_575,0.0,0.0
feature_573,0.0,0.0
feature_545,0.0,0.0
feature_558,0.0,0.0
feature_546,0.0,0.0
feature_547,0.0,0.0
feature_548,0.0,0.0
feature_549,0.0,0.0
feature_550,0.0,0.0
feature_551,0.0,0.0
feature_552,0.0,0.0
feature_553,0.0,0.0
feature_554,0.0,0.0
feature_555,0.0,0.0
feature_556,0.0,0.0
feature_557,0.0,0.0
feature_559,0.0,0.0
feature_572,0.0,0.0
feature_560,0.0,0.0
feature_561,0.0,0.0
feature_562,0.0,0.0
feature_563,0.0,0.0
feature_564,0.0,0.0
feature_565,0.0,0.0
feature_566,0.0,0.0
feature_567,0.0,0.0
feature_568,0.0,0.0
feature_569,0.0,0.0
feature_570,0.0,0.0
feature_571,0.0,0.0
feature_723,0.0,0.0
feature_725,0.0,0.0
feature_1,0.0,0.0
feature_846,0.0,0.0
feature_878,0.0,0.0
feature_879,0.0,0.0
feature_880,0.0,0.0
feature_881,0.0,0.0
feature_882,0.0,0.0
feature_883,0.0,0.0
feature_884,0.0,0.0
feature_885,0.0,0.0
feature_886,0.0,0.0
feature_887,0.0,0.0
feature_888,0.0,0.0
feature_889,0.0,0.0
feature_890,0.0,0.0
feature_891,0.0,0.0
feature_892,0.0,0.0
feature_893,0.0,0.0
feature_894,0.0,0.0
feature_895,0.0,0.0
feature_896,0.0,0.0
feature_897,0.0,0.0
feature_898,0.0,0.0
feature_899,0.0,0.0
feature_900,0.0,0.0
feature_901,0.0,0.0
feature_902,0.0,0.0
feature_903,0.0,0.0
feature_904,0.0,0.0
feature_877,0.0,0.0
feature_876,0.0,0.0
feature_875,0.0,0.0
feature_860,0.0,0.0
feature_848,0.0,0.0
feature_849,0.0,0.0
feature_850,0.0,0.0
feature_851,0.0,0.0
feature_852,0.0,0.0
feature_853,0.0,0.0
feature_854,0.0,0.0
feature_855,0.0,0.0
feature_856,0.0,0.0
feature_857,0.0,0.0
feature_858,0.0,0.0
feature_859,0.0,0.0
feature_861,0.0,0.0
feature_874,0.0,0.0
feature_862,0.0,0.0
feature_863,0.0,0.0
feature_864,0.0,0.0
feature_865,0.0,0.0
feature_866,0.0,0.0
feature_867,0.0,0.0
feature_868,0.0,0.0
feature_869,0.0,0.0
feature_870,0.0,0.0
feature_871,0.0,0.0
feature_872,0.0,0.0
feature_873,0.0,0.0
feature_905,0.0,0.0
feature_906,0.0,0.0
feature_907,0.0,0.0
feature_951,0.0,0.0
feature_939,0.0,0.0
feature_940,0.0,0.0
feature_941,0.0,0.0
feature_942,0.0,0.0
feature_943,0.0,0.0
feature_944,0.0,0.0
feature_945,0.0,0.0
feature_946,0.0,0.0
feature_947,0.0,0.0
feature_948,0.0,0.0
feature_949,0.0,0.0
feature_950,0.0,0.0
feature_952,0.0,0.0
feature_937,0.0,0.0
feature_953,0.0,0.0
feature_954,0.0,0.0
feature_955,0.0,0.0
feature_956,0.0,0.0
feature_957,0.0,0.0
feature_958,0.0,0.0
feature_959,0.0,0.0
feature_960,0.0,0.0
feature_961,0.0,0.0
feature_962,0.0,0.0
feature_963,0.0,0.0
feature_964,0.0,0.0
feature_938,0.0,0.0
feature_936,0.0,0.0
feature_908,0.0,0.0
feature_921,0.0,0.0
feature_909,0.0,0.0
feature_910,0.0,0.0
feature_911,0.0,0.0
feature_912,0.0,0.0
feature_913,0.0,0.0
feature_914,0.0,0.0
feature_915,0.0,0.0
feature_916,0.0,0.0
feature_917,0.0,0.0
feature_918,0.0,0.0
feature_919,0.0,0.0
feature_920,0.0,0.0
feature_922,0.0,0.0
feature_935,0.0,0.0
feature_923,0.0,0.0
feature_924,0.0,0.0
feature_925,0.0,0.0
feature_926,0.0,0.0
feature_927,0.0,0.0
feature_928,0.0,0.0
feature_929,0.0,0.0
feature_930,0.0,0.0
feature_931,0.0,0.0
feature_932,0.0,0.0
feature_933,0.0,0.0
feature_934,0.0,0.0
feature_847,0.0,0.0
feature_845,0.0,0.0
feature_726,0.0,0.0
feature_844,0.0,0.0
feature_757,0.0,0.0
feature_758,0.0,0.0
feature_759,0.0,0.0
feature_760,0.0,0.0
feature_761,0.0,0.0
feature_762,0.0,0.0
feature_763,0.0,0.0
feature_764,0.0,0.0
feature_765,0.0,0.0
feature_766,0.0,0.0
feature_767,0.0,0.0
feature_768,0.0,0.0
feature_769,0.0,0.0
feature_770,0.0,0.0
feature_771,0.0,0.0
feature_772,0.0,0.0
feature_773,0.0,0.0
feature_774,0.0,0.0
feature_775,0.0,0.0
feature_776,0.0,0.0
feature_777,0.0,0.0
feature_778,0.0,0.0
feature_779,0.0,0.0
feature_780,0.0,0.0
feature_781,0.0,0.0
feature_782,0.0,0.0
feature_783,0.0,0.0
feature_756,0.0,0.0
feature_755,0.0,0.0
feature_754,0.0,0.0
feature_739,0.0,0.0
feature_727,0.0,0.0
feature_728,0.0,0.0
feature_729,0.0,0.0
feature_730,0.0,0.0
feature_731,0.0,0.0
feature_732,0.0,0.0
feature_733,0.0,0.0
feature_734,0.0,0.0
feature_735,0.0,0.0
feature_736,0.0,0.0
feature_737,0.0,0.0
feature_738,0.0,0.0
feature_740,0.0,0.0
feature_753,0.0,0.0
feature_741,0.0,0.0
feature_742,0.0,0.0
feature_743,0.0,0.0
feature_744,0.0,0.0
feature_745,0.0,0.0
feature_746,0.0,0.0
feature_747,0.0,0.0
feature_748,0.0,0.0
feature_749,0.0,0.0
feature_750,0.0,0.0
feature_751,0.0,0.0
feature_752,0.0,0.0
feature_784,0.0,0.0
feature_785,0.0,0.0
feature_786,0.0,0.0
feature_830,0.0,0.0
feature_818,0.0,0.0
feature_819,0.0,0.0
feature_820,0.0,0.0
feature_821,0.0,0.0
feature_822,0.0,0.0
feature_823,0.0,0.0
feature_824,0.0,0.0
feature_825,0.0,0.0
feature_826,0.0,0.0
feature_827,0.0,0.0
feature_828,0.0,0.0
feature_829,0.0,0.0
feature_831,0.0,0.0
feature_816,0.0,0.0
feature_832,0.0,0.0
feature_833,0.0,0.0
feature_834,0.0,0.0
feature_835,0.0,0.0
feature_836,0.0,0.0
feature_837,0.0,0.0
feature_838,0.0,0.0
feature_839,0.0,0.0
feature_840,0.0,0.0
feature_841,0.0,0.0
feature_842,0.0,0.0
feature_843,0.0,0.0
feature_817,0.0,0.0
feature_815,0.0,0.0
feature_787,0.0,0.0
feature_800,0.0,0.0
feature_788,0.0,0.0
feature_789,0.0,0.0
feature_790,0.0,0.0
feature_791,0.0,0.0
feature_792,0.0,0.0
feature_793,0.0,0.0
feature_794,0.0,0.0
feature_795,0.0,0.0
feature_796,0.0,0.0
feature_797,0.0,0.0
feature_798,0.0,0.0
feature_799,0.0,0.0
feature_801,0.0,0.0
feature_814,0.0,0.0
feature_802,0.0,0.0
feature_803,0.0,0.0
feature_804,0.0,0.0
feature_805,0.0,0.0
feature_806,0.0,0.0
feature_807,0.0,0.0
feature_808,0.0,0.0
feature_809,0.0,0.0
feature_810,0.0,0.0
feature_811,0.0,0.0
feature_812,0.0,0.0
feature_813,0.0,0.0
feature_484,0.0,0.0
feature_483,0.0,0.0
feature_482,0.0,0.0
feature_121,0.0,0.0
feature_153,0.0,0.0
feature_154,0.0,0.0
feature_155,0.0,0.0
feature_156,0.0,0.0
feature_157,0.0,0.0
feature_158,0.0,0.0
feature_159,0.0,0.0
feature_160,0.0,0.0
feature_161,0.0,0.0
feature_162,0.0,0.0
feature_163,0.0,0.0
feature_164,0.0,0.0
feature_165,0.0,0.0
feature_166,0.0,0.0
feature_167,0.0,0.0
feature_168,0.0,0.0
feature_169,0.0,0.0
feature_170,0.0,0.0
feature_171,0.0,0.0
feature_172,0.0,0.0
feature_173,0.0,0.0
feature_174,0.0,0.0
feature_175,0.0,0.0
feature_176,0.0,0.0
feature_177,0.0,0.0
feature_178,0.0,0.0
feature_179,0.0,0.0
feature_152,0.0,0.0
feature_151,0.0,0.0
feature_150,0.0,0.0
feature_135,0.0,0.0
feature_123,0.0,0.0
feature_124,0.0,0.0
feature_125,0.0,0.0
feature_126,0.0,0.0
feature_127,0.0,0.0
feature_128,0.0,0.0
feature_129,0.0,0.0
feature_130,0.0,0.0
feature_131,0.0,0.0
feature_132,0.0,0.0
feature_133,0.0,0.0
feature_134,0.0,0.0
feature_136,0.0,0.0
feature_149,0.0,0.0
feature_137,0.0,0.0
feature_138,0.0,0.0
feature_139,0.0,0.0
feature_140,0.0,0.0
feature_141,0.0,0.0
feature_142,0.0,0.0
feature_143,0.0,0.0
feature_144,0.0,0.0
feature_145,0.0,0.0
feature_146,0.0,0.0
feature_147,0.0,0.0
feature_148,0.0,0.0
feature_180,0.0,0.0
feature_181,0.0,0.0
feature_182,0.0,0.0
feature_226,0.0,0.0
feature_214,0.0,0.0
feature_215,0.0,0.0
feature_216,0.0,0.0
feature_217,0.0,0.0
feature_218,0.0,0.0
feature_219,0.0,0.0
feature_220,0.0,0.0
feature_221,0.0,0.0
feature_222,0.0,0.0
feature_223,0.0,0.0
feature_224,0.0,0.0
feature_225,0.0,0.0
feature_227,0.0,0.0
feature_212,0.0,0.0
feature_228,0.0,0.0
feature_229,0.0,0.0
feature_230,0.0,0.0
feature_231,0.0,0.0
feature_232,0.0,0.0
feature_233,0.0,0.0
feature_234,0.0,0.0
feature_235,0.0,0.0
feature_236,0.0,0.0
feature_237,0.0,0.0
feature_238,0.0,0.0
feature_239,0.0,0.0
feature_213,0.0,0.0
feature_211,0.0,0.0
feature_183,0.0,0.0
feature_196,0.0,0.0
feature_184,0.0,0.0
feature_185,0.0,0.0
feature_186,0.0,0.0
feature_187,0.0,0.0
feature_188,0.0,0.0
feature_189,0.0,0.0
feature_190,0.0,0.0
feature_191,0.0,0.0
feature_192,0.0,0.0
feature_193,0.0,0.0
feature_194,0.0,0.0
feature_195,0.0,0.0
feature_197,0.0,0.0
feature_210,0.0,0.0
feature_198,0.0,0.0
feature_199,0.0,0.0
feature_200,0.0,0.0
feature_201,0.0,0.0
feature_202,0.0,0.0
feature_203,0.0,0.0
feature_204,0.0,0.0
feature_205,0.0,0.0
feature_206,0.0,0.0
feature_207,0.0,0.0
feature_208,0.0,0.0
feature_209,0.0,0.0
feature_122,0.0,0.0
feature_120,0.0,0.0
feature_481,0.0,0.0
feature_119,0.0,0.0
feature_32,0.0,0.0
feature_33,0.0,0.0
feature_34,0.0,0.0
feature_35,0.0,0.0
feature_36,0.0,0.0
feature_37,0.0,0.0
feature_38,0.0,0.0
feature_39,0.0,0.0
feature_40,0.0,0.0
feature_41,0.0,0.0
feature_42,0.0,0.0
feature_43,0.0,0.0
feature_44,0.0,0.0
feature_45,0.0,0.0
feature_46,0.0,0.0
feature_47,0.0,0.0
feature_48,0.0,0.0
feature_49,0.0,0.0
feature_50,0.0,0.0
feature_51,0.0,0.0
feature_52,0.0,0.0
feature_53,0.0,0.0
feature_54,0.0,0.0
feature_55,0.0,0.0
feature_56,0.0,0.0
feature_57,0.0,0.0
feature_58,0.0,0.0
feature_31,0.0,0.0
feature_30,0.0,0.0
feature_29,0.0,0.0
feature_14,0.0,0.0
feature_2,0.0,0.0
feature_3,0.0,0.0
feature_4,0.0,0.0
feature_5,0.0,0.0
feature_6,0.0,0.0
feature_7,0.0,0.0
feature_8,0.0,0.0
feature_9,0.0,0.0
feature_10,0.0,0.0
feature_11,0.0,0.0
feature_12,0.0,0.0
feature_13,0.0,0.0
feature_15,0.0,0.0
feature_28,0.0,0.0
feature_16,0.0,0.0
feature_17,0.0,0.0
feature_18,0.0,0.0
feature_19,0.0,0.0
feature_20,0.0,0.0
feature_21,0.0,0.0
feature_22,0.0,0.0
feature_23,0.0,0.0
feature_24,0.0,0.0
feature_25,0.0,0.0
feature_26,0.0,0.0
feature_27,0.0,0.0
feature_59,0.0,0.0
feature_60,0.0,0.0
feature_61,0.0,0.0
feature_105,0.0,0.0
feature_93,0.0,0.0
feature_94,0.0,0.0
feature_95,0.0,0.0
feature_96,0.0,0.0
feature_97,0.0,0.0
feature_98,0.0,0.0
feature_99,0.0,0.0
feature_100,0.0,0.0
feature_101,0.0,0.0
feature_102,0.0,0.0
feature_103,0.0,0.0
feature_104,0.0,0.0
feature_106,0.0,0.0
feature_91,0.0,0.0
feature_107,0.0,0.0
feature_108,0.0,0.0
feature_109,0.0,0.0
feature_110,0.0,0.0
feature_111,0.0,0.0
feature_112,0.0,0.0
feature_113,0.0,0.0
feature_114,0.0,0.0
feature_115,0.0,0.0
feature_116,0.0,0.0
feature_117,0.0,0.0
feature_118,0.0,0.0
feature_92,0.0,0.0
feature_90,0.0,0.0
feature_62,0.0,0.0
feature_75,0.0,0.0
feature_63,0.0,0.0
feature_64,0.0,0.0
feature_65,0.0,0.0
feature_66,0.0,0.0
feature_67,0.0,0.0
feature_68,0.0,0.0
feature_69,0.0,0.0
feature_70,0.0,0.0
feature_71,0.0,0.0
feature_72,0.0,0.0
feature_73,0.0,0.0
feature_74,0.0,0.0
feature_76,0.0,0.0
feature_89,0.0,0.0
feature_77,0.0,0.0
feature_78,0.0,0.0
feature_79,0.0,0.0
feature_80,0.0,0.0
feature_81,0.0,0.0
feature_82,0.0,0.0
feature_83,0.0,0.0
feature_84,0.0,0.0
feature_85,0.0,0.0
feature_86,0.0,0.0
feature_87,0.0,0.0
feature_88,0.0,0.0
feature_240,0.0,0.0
feature_241,0.0,0.0
feature_242,0.0,0.0
feature_243,0.0,0.0
feature_394,0.0,0.0
feature_395,0.0,0.0
feature_396,0.0,0.0
feature_397,0.0,0.0
feature_398,0.0,0.0
feature_399,0.0,0.0
feature_400,0.0,0.0
feature_401,0.0,0.0
feature_402,0.0,0.0
feature_403,0.0,0.0
feature_404,0.0,0.0
feature_405,0.0,0.0
feature_406,0.0,0.0
feature_407,0.0,0.0
feature_408,0.0,0.0
feature_409,0.0,0.0
feature_410,0.0,0.0
feature_411,0.0,0.0
feature_412,0.0,0.0
feature_413,0.0,0.0
feature_414,0.0,0.0
feature_415,0.0,0.0
feature_416,0.0,0.0
feature_417,0.0,0.0
feature_418,0.0,0.0
feature_419,0.0,0.0
feature_420,0.0,0.0
feature_393,0.0,0.0
feature_392,0.0,0.0
feature_391,0.0,0.0
feature_376,0.0,0.0
feature_364,0.0,0.0
feature_365,0.0,0.0
feature_366,0.0,0.0
feature_367,0.0,0.0
feature_368,0.0,0.0
feature_369,0.0,0.0
feature_370,0.0,0.0
feature_371,0.0,0.0
feature_372,0.0,0.0
feature_373,0.0,0.0
feature_374,0.0,0.0
feature_375,0.0,0.0
feature_377,0.0,0.0
feature_390,0.0,0.0
feature_378,0.0,0.0
feature_379,0.0,0.0
feature_380,0.0,0.0
feature_381,0.0,0.0
feature_382,0.0,0.0
feature_383,0.0,0.0
feature_384,0.0,0.0
feature_385,0.0,0.0
feature_386,0.0,0.0
feature_387,0.0,0.0
feature_388,0.0,0.0
feature_389,0.0,0.0
feature_421,0.0,0.0
feature_422,0.0,0.0
feature_423,0.0,0.0
feature_467,0.0,0.0
feature_455,0.0,0.0
feature_456,0.0,0.0
feature_457,0.0,0.0
feature_458,0.0,0.0
feature_459,0.0,0.0
feature_460,0.0,0.0
feature_461,0.0,0.0
feature_462,0.0,0.0
feature_463,0.0,0.0
feature_464,0.0,0.0
feature_465,0.0,0.0
feature_466,0.0,0.0
feature_468,0.0,0.0
feature_453,0.0,0.0
feature_469,0.0,0.0
feature_470,0.0,0.0
feature_471,0.0,0.0
feature_472,0.0,0.0
feature_473,0.0,0.0
feature_474,0.0,0.0
feature_475,0.0,0.0
feature_476,0.0,0.0
feature_477,0.0,0.0
feature_478,0.0,0.0
feature_479,0.0,0.0
feature_480,0.0,0.0
feature_454,0.0,0.0
feature_452,0.0,0.0
feature_424,0.0,0.0
feature_437,0.0,0.0
feature_425,0.0,0.0
feature_426,0.0,0.0
feature_427,0.0,0.0
feature_428,0.0,0.0
feature_429,0.0,0.0
feature_430,0.0,0.0
feature_431,0.0,0.0
feature_432,0.0,0.0
feature_433,0.0,0.0
feature_434,0.0,0.0
feature_435,0.0,0.0
feature_436,0.0,0.0
feature_438,0.0,0.0
feature_451,0.0,0.0
feature_439,0.0,0.0
feature_440,0.0,0.0
feature_441,0.0,0.0
feature_442,0.0,0.0
feature_443,0.0,0.0
feature_444,0.0,0.0
feature_445,0.0,0.0
feature_446,0.0,0.0
feature_447,0.0,0.0
feature_448,0.0,0.0
feature_449,0.0,0.0
feature_450,0.0,0.0
feature_363,0.0,0.0
feature_362,0.0,0.0
feature_361,0.0,0.0
feature_286,0.0,0.0
feature_274,0.0,0.0
feature_275,0.0,0.0
feature_276,0.0,0.0
feature_277,0.0,0.0
feature_278,0.0,0.0
feature_279,0.0,0.0
feature_280,0.0,0.0
feature_281,0.0,0.0
feature_282,0.0,0.0
feature_283,0.0,0.0
feature_284,0.0,0.0
feature_285,0.0,0.0
feature_287,0.0,0.0
feature_272,0.0,0.0
feature_288,0.0,0.0
feature_289,0.0,0.0
feature_290,0.0,0.0
feature_291,0.0,0.0
feature_292,0.0,0.0
feature_293,0.0,0.0
feature_294,0.0,0.0
feature_295,0.0,0.0
feature_296,0.0,0.0
feature_297,0.0,0.0
feature_298,0.0,0.0
feature_299,0.0,0.0
feature_273,0.0,0.0
feature_271,0.0,0.0
feature_301,0.0,0.0
feature_256,0.0,0.0
feature_244,0.0,0.0
feature_245,0.0,0.0
feature_246,0.0,0.0
feature_247,0.0,0.0
feature_248,0.0,0.0
feature_249,0.0,0.0
feature_250,0.0,0.0
feature_251,0.0,0.0
feature_252,0.0,0.0
feature_253,0.0,0.0
feature_254,0.0,0.0
feature_255,0.0,0.0
feature_257,0.0,0.0
feature_270,0.0,0.0
feature_258,0.0,0.0
feature_259,0.0,0.0
feature_260,0.0,0.0
feature_261,0.0,0.0
feature_262,0.0,0.0
feature_263,0.0,0.0
feature_264,0.0,0.0
feature_265,0.0,0.0
feature_266,0.0,0.0
feature_267,0.0,0.0
feature_268,0.0,0.0
feature_269,0.0,0.0
feature_300,0.0,0.0
feature_302,0.0,0.0
feature_360,0.0,0.0
feature_346,0.0,0.0
feature_334,0.0,0.0
feature_335,0.0,0.0
feature_336,0.0,0.0
feature_337,0.0,0.0
feature_338,0.0,0.0
feature_339,0.0,0.0
feature_340,0.0,0.0
feature_341,0.0,0.0
feature_342,0.0,0.0
feature_343,0.0,0.0
feature_344,0.0,0.0
feature_345,0.0,0.0
feature_347,0.0,0.0
feature_332,0.0,0.0
feature_348,0.0,0.0
feature_349,0.0,0.0
feature_350,0.0,0.0
feature_351,0.0,0.0
feature_352,0.0,0.0
feature_353,0.0,0.0
feature_354,0.0,0.0
feature_355,0.0,0.0
feature_356,0.0,0.0
feature_357,0.0,0.0
feature_358,0.0,0.0
feature_359,0.0,0.0
feature_333,0.0,0.0
feature_331,0.0,0.0
feature_303,0.0,0.0
feature_316,0.0,0.0
feature_304,0.0,0.0
feature_305,0.0,0.0
feature_306,0.0,0.0
feature_307,0.0,0.0
feature_308,0.0,0.0
feature_309,0.0,0.0
feature_310,0.0,0.0
feature_311,0.0,0.0
feature_312,0.0,0.0
feature_313,0.0,0.0
feature_314,0.0,0.0
feature_315,0.0,0.0
feature_317,0.0,0.0
feature_330,0.0,0.0
feature_318,0.0,0.0
feature_319,0.0,0.0
feature_320,0.0,0.0
feature_321,0.0,0.0
feature_322,0.0,0.0
feature_323,0.0,0.0
feature_324,0.0,0.0
feature_325,0.0,0.0
feature_326,0.0,0.0
feature_327,0.0,0.0
feature_328,0.0,0.0
feature_329,0.0,0.0
feature_965,0.0,0.0
