run,model,r2,mae,mse,rmse
1,LinearRegression,0.01633617965380274,547.7237506715809,620068.1368245058,787.4440531393362
1,RandomForestRegressor,0.38117290024771433,379.01108389846166,390087.506344256,624.5698570570437
1,SVR_RBF,-0.2731423013146417,599.8541792115705,802545.5021928063,895.8490398458919
1,KNNRegressor,0.08427235221448648,494.32537171428567,577243.4897536542,759.765417582068
2,LinearRegression,0.2743656576475346,585.9188697494632,622946.5560373235,789.26963455927
2,RandomForestRegressor,0.4311384250830457,471.16257859487195,488359.4095169697,698.8271671285896
2,SVR_RBF,-0.2046035307512597,626.0665791709722,1034134.6558090559,1016.9241150690921
2,KNNRegressor,0.23735368640251242,536.4950921538461,654720.7964136696,809.1481918744363
3,LinearRegression,0.27944897356790055,516.3405803250653,482699.7871250799,694.7659945082804
3,RandomForestRegressor,0.47605773587618316,353.52700161948707,350990.852945834,592.4448100421118
3,SVR_RBF,-0.04601332458863161,543.2318089997302,700728.1796669668,837.0950840059729
3,KNNRegressor,0.2035948733508126,532.7260881978023,533514.7283078792,730.4209254312743
4,LinearRegression,0.23965507066757474,579.648897310736,608901.7376223039,780.3215603982143
4,RandomForestRegressor,0.5103482791459958,403.18316904051295,392124.3795490644,626.1983547958781
4,SVR_RBF,-0.06847740026839588,619.7159761343306,855661.3196655444,925.0196320433121
4,KNNRegressor,0.16151043217163674,587.915664,671481.7645685219,819.4399090650405
5,LinearRegression,0.39549712187491204,486.0582330863734,561712.8888302441,749.475075523025
5,RandomForestRegressor,0.44990617630487195,433.033212205641,511155.2020957062,714.9511886105976
5,SVR_RBF,-0.022007901069743152,608.1182598887599,949664.6439430651,974.5073852686111
5,KNNRegressor,0.2364933477962078,537.8546923956045,709461.514196059,842.2953841711701
6,LinearRegression,0.1820011800794501,672.6671552873808,842588.702961482,917.9263058445825
6,RandomForestRegressor,0.45081584814060327,435.7989215323074,565693.1904219068,752.1257809847411
6,SVR_RBF,-0.03289759226061317,703.4494849689524,1063947.5526864922,1031.4783336001258
6,KNNRegressor,0.17126634290296905,633.2438968791209,853646.2403475535,923.9297810697269
7,LinearRegression,0.3847533716979272,641.5605723128714,675578.9391112514,821.9360918655728
7,RandomForestRegressor,0.5402304197087913,447.3707871984615,504855.5018431682,710.5318443554576
7,SVR_RBF,-0.14396620700936147,755.8211081384198,1256145.8136606955,1120.7791101107728
7,KNNRegressor,0.2424124532884746,658.9871934065933,831878.0917235359,912.0735122365609
8,LinearRegression,-0.6156148376824799,548.7947012455419,520730.6576333966,721.6166971692081
8,RandomForestRegressor,-0.24821080962354936,418.05170732871824,402312.2470778692,634.2808897309371
8,SVR_RBF,-0.02648245732371257,429.80545495391993,330846.7294210208,575.1927758769409
8,KNNRegressor,-0.3648853549357338,458.581320967033,439917.7526058097,663.2629588676045
9,LinearRegression,0.23771071971907032,719.033058535596,1050850.5497317694,1025.1100183549906
9,RandomForestRegressor,0.39085062163313866,536.6288331261536,839740.2084542942,916.3734001237128
9,SVR_RBF,-0.2067689053334305,830.1265369231553,1663585.990742898,1289.80075621892
9,KNNRegressor,0.24760206490855308,687.3526058681318,1037214.8791289715,1018.4374694250853
10,LinearRegression,0.04039099898277132,650.8678348429598,731959.8017917015,855.546493062593
10,RandomForestRegressor,0.39035375676430206,426.3324709779486,465019.1305925915,681.9231119360829
10,SVR_RBF,-0.12770461681459655,586.345593386834,860177.8921708749,927.4577576207312
10,KNNRegressor,0.11960217332616208,540.0861361978023,671539.9897530322,819.4754357227752
11,LinearRegression,-0.6408728640008985,595.1489605888387,569422.7550193603,754.6010568634001
11,RandomForestRegressor,-0.5460615015957597,510.05702479333377,536520.9084642066,732.475875687525
11,SVR_RBF,-0.17657842860828543,472.00900694432835,408301.30414912675,638.9845883502409
11,KNNRegressor,0.1669824721166533,390.11737690109885,289077.32348634436,537.6591145757174
12,LinearRegression,-0.022109132323812064,600.9877557103463,565734.8911802698,752.1535024051074
12,RandomForestRegressor,-0.21413786071045782,560.513404272308,672022.320107074,819.7696750350515
12,SVR_RBF,-0.039714624625279304,531.5795978126415,575479.4878738744,758.603643462035
12,KNNRegressor,0.2555083337677474,471.15332498901097,412074.30641279754,641.9301413805068
13,LinearRegression,0.31351262273895586,601.9717839251512,828713.2330506325,910.3368788809078
13,RandomForestRegressor,0.4606379937139292,476.8851373882052,651106.5560991921,806.9117399686239
13,SVR_RBF,-0.12020157711833535,720.0875794981417,1352283.9623737864,1162.8774494218153
13,KNNRegressor,0.2798270052366313,620.7229337142858,869377.8073928977,932.4043154087703
14,LinearRegression,0.32809707467936233,529.3141877699674,672728.0216680295,820.1999888246949
14,RandomForestRegressor,0.3809268253437996,483.6678740379487,619833.3961047576,787.2949867138476
14,SVR_RBF,-0.12148685158087269,675.3144253709478,1122864.036692019,1059.652790630978
14,KNNRegressor,0.20639582314369442,572.3785103076922,794578.7222599986,891.3914528757826
15,LinearRegression,0.18735384495791163,580.0286388639186,649491.4241560908,805.9103077614102
15,RandomForestRegressor,0.4486155742907033,421.23104610205127,440683.13581434684,663.8396913520213
15,SVR_RBF,-0.035055478279532704,574.734106342322,827247.6926116999,909.531578677563
15,KNNRegressor,0.2681467557787566,510.7125674725274,584919.2824125186,764.8001584809712
16,LinearRegression,0.31537825101337635,452.6869465990903,348086.859370457,589.9888637681706
16,RandomForestRegressor,0.3739788846357618,381.92358018769244,318292.1434635665,564.1738592522402
16,SVR_RBF,-0.08250071529453518,542.5123132362924,550383.1492512373,741.8781229091725
16,KNNRegressor,0.2756723084023581,475.44457520879115,368274.81992279255,606.856506863684
17,LinearRegression,0.0730355145798669,624.6618722269895,696677.9012671484,834.672331677017
17,RandomForestRegressor,0.39440464624020133,410.47226314666653,455146.77931084996,674.6456694523799
17,SVR_RBF,-0.03412662358338525,615.9653734068784,777217.6573043361,881.5994880354322
17,KNNRegressor,0.13699651690078263,572.1626232307693,648606.7857489714,805.3612765392755
18,LinearRegression,0.3145046550500362,576.6816580265904,763320.9111975484,873.6823857658734
18,RandomForestRegressor,0.50721179051334,448.3815191615383,548735.3748845988,740.7667479609211
18,SVR_RBF,-0.2030786012433572,763.9708321448463,1339666.3608421488,1157.4395711406055
18,KNNRegressor,0.23075207544735732,656.312225032967,856582.0775182744,925.5171946097352
19,LinearRegression,0.4161904128989462,520.2387248575543,441942.1649527935,664.7873080563388
19,RandomForestRegressor,0.5722053004048884,370.56501203897443,323839.3474029545,569.068842410964
19,SVR_RBF,-0.10990761667587101,558.7798487972683,840196.8481658809,916.6225221790488
19,KNNRegressor,0.3072376257561342,461.81895945054947,524419.1089622802,724.167873467389
20,LinearRegression,0.11733338018407236,568.5180999832241,707785.6641654498,841.2999846460534
20,RandomForestRegressor,0.3070377161043759,429.54107837282066,555667.0653875574,745.4307918160863
20,SVR_RBF,-0.027135348067641507,593.9454264157879,823631.0949104135,907.5412359283811
20,KNNRegressor,0.2766632195292943,524.5352130989011,580023.5242695854,761.5927548694153
21,LinearRegression,0.0067432426817602975,491.9547521932913,452576.8886213542,672.7383507882944
21,RandomForestRegressor,0.3946221668138077,312.9509495051284,275840.0727355543,525.2047912343853
21,SVR_RBF,-0.09787158065728918,502.83576661424877,500244.5746467611,707.2797004345318
21,KNNRegressor,-0.043186612059653795,458.4351938901098,475327.3991431218,689.43991699286
22,LinearRegression,0.39230701142010493,532.0212668023264,411610.6347168989,641.5688854027281
22,RandomForestRegressor,0.5936113089117869,342.0293340287178,275260.55133775366,524.6527912226844
22,SVR_RBF,-0.13202336015166738,589.7850946419,766757.0015498449,875.6466191049018
22,KNNRegressor,0.3629150685425373,476.2659571648352,431518.7733506358,656.9008854847402
23,LinearRegression,-0.31107254390247197,556.4501417913918,508587.24434038653,713.153030099702
23,RandomForestRegressor,0.2916803935777631,359.0042967133335,274769.17155954894,524.1842915993849
23,SVR_RBF,0.002359570010749268,477.2421692762892,387001.619010744,622.0945418589879
23,KNNRegressor,0.2432857116002718,433.33685610989005,293542.28831966367,541.7954303237188
24,LinearRegression,0.2898539534851835,675.7380350286929,813159.4397454767,901.7535360315903
24,RandomForestRegressor,0.3706231707536183,504.8934577574359,720673.8844361003,848.9251347651925
24,SVR_RBF,-0.14049354123360924,685.00174300276,1305932.9043290073,1142.7742140637438
24,KNNRegressor,0.27383005253672543,665.9723414505494,831507.7589140935,911.8704726626987
25,LinearRegression,0.024693947520824544,596.2238542905483,655522.7368590191,809.6435863137675
25,RandomForestRegressor,0.43660883178913124,390.48478383230764,378666.490963537,615.358831060006
25,SVR_RBF,-0.06342355474259787,560.1214802381769,714748.2754497712,845.4278653142272
25,KNNRegressor,-0.02661180660294349,580.9753409670329,690006.3620496322,830.6662157868419
26,LinearRegression,0.26795812650799167,553.2735207417533,577425.6976391859,759.8853187417072
26,RandomForestRegressor,0.4569343512782409,386.5952873251281,428363.557375741,654.4948872036672
26,SVR_RBF,-0.034979779097164876,611.2100090729436,816379.4212164767,903.5371720169994
26,KNNRegressor,0.08770815457683845,591.7679387912087,719604.6761384618,848.295158620195
27,LinearRegression,0.06545750343187273,593.2218279461747,561711.286155168,749.4740063238804
27,RandomForestRegressor,-0.023392925962478106,515.9102352979487,615115.2663420674,784.2928447602129
27,SVR_RBF,-0.267628389891128,620.2624430941289,761914.172835738,872.8769517152679
27,KNNRegressor,0.07065246177329654,540.0409480439561,558588.8313259874,747.3880058751193
28,LinearRegression,0.010115266585001725,530.8487995013251,572045.8287022039,756.3371131328965
28,RandomForestRegressor,0.5591895496614187,345.0920595671796,254740.54791671244,504.7182856967959
28,SVR_RBF,-0.12545258187120245,564.17409829048,650389.3161787319,806.4671823321343
28,KNNRegressor,-0.2454460390943325,622.1355258901099,719732.4976209196,848.3704954917513
29,LinearRegression,0.14990943288629877,571.1075156348427,577358.3438623963,759.8409990665128
29,RandomForestRegressor,0.32584299512134096,431.98507833025644,457869.0634828745,676.6602275018641
29,SVR_RBF,-0.051377867650822306,531.8669107381237,714067.1922774861,845.0249654758645
29,KNNRegressor,0.2543035596759208,511.57337402197805,506456.69822143775,711.6577114185145
30,LinearRegression,0.25548179135936355,612.9226540941728,997210.3943062733,998.6042230564987
30,RandomForestRegressor,0.35059921054250565,499.90963481743574,869809.7773862386,932.6359297101086
30,SVR_RBF,-0.14119714944991713,761.9922354051855,1528523.609196834,1236.3347480342184
30,KNNRegressor,0.1042933072933645,673.3882398901097,1199712.799298217,1095.314018580159
